Dates,Oliva Extra,Oliva,Lampante
11/16/2017,3586.72,3425.11,3269.63
11/17/2017,3536.36,3445.09,3294.42
11/18/2017,3569.79,3489.48,3294.42
11/19/2017,3569.79,3489.48,3294.42
11/20/2017,3596.54,3414.10,3239.27
11/21/2017,3563.97,3473.98,3288.82
11/22/2017,3636.03,3450.55,3289.70
11/23/2017,3604.47,3480.65,3316.47
11/24/2017,3564.54,3480.75,3325.22
11/25/2017,3564.54,3482.75,3325.22
11/26/2017,3644.61,3482.75,3325.22
11/27/2017,3554.41,3441.67,3299.71
11/28/2017,3617.64,3444.40,3301.52
11/29/2017,3540.33,3490.64,3359.58
11/30/2017,3531.39,3462.15,3209.01
12/01/2017,3613.57,3464.04,3372.23
12/02/2017,3613.57,3464.04,3372.23
12/03/2017,3613.57,3464.04,3372.23
12/04/2017,3588.35,3489.52,3479.90
12/05/2017,3608.12,3483.66,3464.70
12/06/2017,3608.12,3483.66,3464.70
12/07/2017,3608.12,3483.66,3464.70
12/08/2017,3608.12,3483.66,3464.70
12/09/2017,3529.69,3483.66,3464.70
12/10/2017,3529.69,3483.66,3464.70
12/11/2017,3612.73,3480.13,3249.90
12/12/2017,3637.38,3462.23,3389.87
12/13/2017,3563.20,3476.12,3408.93
12/14/2017,3610.31,3495.54,3461.41
12/15/2017,3592.21,3474.63,3461.41
12/16/2017,3592.21,3474.69,3470.18
12/17/2017,3592.21,3474.69,3470.18
12/18/2017,3602.38,3492.23,3470.18
12/19/2017,3566.95,3511.20,3311.94
12/20/2017,3540.26,3540.23,3224.75
12/21/2017,3602.57,3491.41,3362.14
12/22/2017,3613.34,3515.63,3348.35
12/23/2017,3574.61,3515.63,3348.35
12/24/2017,3574.61,3515.63,3348.35
12/25/2017,3574.61,3515.63,3348.35
12/26/2017,3621.24,3530.94,3467.67
12/27/2017,3627.36,3500.84,3423.21
12/28/2017,3740.24,3507.34,3449.39
12/29/2017,3612.18,3507.09,3427.78
12/30/2017,3612.18,3507.09,3427.78
12/31/2017,3612.18,3507.09,3427.78
01/01/2018,3612.18,3507.09,3427.78
01/02/2018,3550.32,3549.16,3391.86
01/03/2018,3648.41,3519.06,3354.40
01/04/2018,3645.56,3524.22,3409.32
01/05/2018,3656.78,3528.75,3403.71
01/06/2018,3656.78,3529.75,3403.71
01/07/2018,3656.78,3529.75,3403.71
01/08/2018,3638.53,3545.29,3451.78
01/09/2018,3631.22,3531.79,3504.38
01/10/2018,3724.82,3529.12,3497.24
01/11/2018,3657.60,3571.41,3531.57
01/12/2018,3644.52,3523.58,3460.05
01/13/2018,3644.52,3523.58,3460.05
01/14/2018,3644.52,3523.58,3460.05
01/15/2018,3745.87,3549.55,3493.77
01/16/2018,3678.04,3500.00,3482.74
01/17/2018,3675.08,3549.27,3455.82
01/18/2018,3599.57,3549.27,3356.07
